workload	PERF010A_ABLATION_1	structural_ablation_confirmed	protos_baseline_steady_median_ns	protos_ablation_steady_median_ns	removed_ns	removed_fraction_of_baseline
micro/slot-read	VALID	True	48557167.0	47094106.0	1463061.0	0.030130691108894388
micro/closure-call	VALID	True	58985733.0	55436564.0	3549169.0	0.06016995669105273
micro/method-call	VALID	True	58744288.0	56920628.5	1823659.5	0.031044031038387935
runtime/monomorphic-dispatch	VALID	True	56311081.5	53793518.0	2517563.5	0.04470813617742362
