workload	language	phase	count	median_ns	mad_ns	p95_ns	min_ns	max_ns
runtime/monomorphic-dispatch	python	warmup	100	1759371.0	19720.5	1970181	1724761	2455622
runtime/monomorphic-dispatch	python	steady	100	1759496.5	14765.0	2021352	1720831	2511841
runtime/monomorphic-dispatch	javascript	startup	10	33662734.0	1199471.0	36742856	31701263	36742856
runtime/monomorphic-dispatch	javascript	warmup	100	135225.0	16340.0	1335781	118220	1735152
runtime/monomorphic-dispatch	javascript	steady	100	123245.0	5099.5	716031	61660	1397381
runtime/polymorphic-dispatch	protos	startup	10	4338935353.5	38805779.5	4487106379	4283336930	4487106379
runtime/polymorphic-dispatch	protos	warmup	100	112542349.0	54021023.5	1528285779	46984754	3518916626
runtime/polymorphic-dispatch	protos	steady	100	54259368.5	5808899.0	92886076	47295364	119948695
runtime/polymorphic-dispatch	python	startup	10	13870960.0	169150.0	14745770	13200969	14745770
runtime/polymorphic-dispatch	python	warmup	100	2056936.5	23385.5	2207842	2004051	2364672
runtime/polymorphic-dispatch	python	steady	100	2061091.5	22140.0	2198272	2015032	2473882
runtime/polymorphic-dispatch	javascript	startup	10	33090643.5	611636.0	35507385	32364313	35507385
runtime/polymorphic-dispatch	javascript	warmup	100	91260.0	13514.5	1055001	77240	2204711
runtime/polymorphic-dispatch	javascript	steady	100	84320.5	5220.5	422610	77080	1252861
algorithms/factorial/recursive	protos	startup	10	1167497192.0	14780520.0	1301932028	1125748683	1301932028
algorithms/factorial/recursive	protos	warmup	100	9020526.0	3700607.5	168214728	1850852	200395321
algorithms/factorial/recursive	protos	steady	100	5014013.5	507055.0	6074934	1185511	6575405
algorithms/factorial/recursive	python	startup	10	11459158.5	537730.0	12535959	10833117	12535959
algorithms/factorial/recursive	python	warmup	100	1340.0	55.0	2970	1270	4710
algorithms/factorial/recursive	python	steady	100	1320.0	30.0	2240	1280	2350
algorithms/factorial/recursive	javascript	startup	10	34084699.0	750855.5	36408025	31331982	36408025
algorithms/factorial/recursive	javascript	warmup	100	1140.0	90.0	3690	1020	38810
algorithms/factorial/recursive	javascript	steady	100	1040.0	270.0	3780	210	256320
algorithms/fibonacci/recursive	protos	startup	10	12237140138.0	123636061.5	12827095145	12066523371	12827095145
algorithms/fibonacci/recursive	protos	warmup	100	7116667568.0	131066008.5	9210738627	6813842470	11902158107
algorithms/fibonacci/recursive	protos	steady	100	7050436746.0	129786616.5	7617150825	6815868069	10324124317
algorithms/fibonacci/recursive	python	startup	10	116055068.5	1083852.5	140858482	114663560	140858482
algorithms/fibonacci/recursive	python	warmup	100	106182176.0	2552663.0	115999150	101906353	134919339
algorithms/fibonacci/recursive	python	steady	100	106219882.5	2763121.0	132025502	101734043	168004251
algorithms/fibonacci/recursive	javascript	startup	10	41416613.0	864671.5	45070845	39959215	45070845
algorithms/fibonacci/recursive	javascript	warmup	100	8086270.0	14860.0	10501750	8059955	12370264
algorithms/fibonacci/recursive	javascript	steady	100	8087160.0	12159.5	8225196	8064305	8342596
