revision_label	protos_revision	implementation_version	mode	workload	startup_median_ns	startup_mad_ns	warmup_first5_median_ns	warmup_last5_median_ns	steady_median_ns	steady_mad_ns	steady_p95_ns
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	runtime/monomorphic-dispatch	1634667628.0	32882085.5	161069685	31077101	36690834.0	6148355.5	71600467
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	runtime/monomorphic-dispatch	2459452827.5	55085932.0	152952437	33128007	32900012.5	4232716.0	69889367
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	runtime/monomorphic-dispatch	1547488665.5	14935368.0	105641723	30110581	32058433.0	2916152.0	65480058
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	truffle	runtime/monomorphic-dispatch	4126190266.0	81675060.0	118668665	38290350	40781320.5	4337218.0	76761350
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	runtime/polymorphic-dispatch	1517083861.5	31471557.0	151243141	36324093	34483786.0	2770640.5	79460032
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	runtime/polymorphic-dispatch	2586308937.5	69772820.5	120080964	36621857	37746242.5	7970913.0	74712798
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	runtime/polymorphic-dispatch	1484344136.0	15940465.0	109817734	34998983	37288730.5	2895394.0	79727993
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	truffle	runtime/polymorphic-dispatch	4953896518.5	42076285.5	87959266	41219316	42163489.0	1676985.0	84241228
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	algorithms/factorial/recursive	1059858182.5	13018169.5	6409702	2139604	384534.0	75120.0	3348810
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	algorithms/factorial/recursive	1104996204.0	21237659.0	5803954	3791449	325129.5	62820.0	3522210
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	algorithms/factorial/recursive	1060862771.0	26314866.0	5661774	477738	509739.0	106244.5	3827889
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	truffle	algorithms/factorial/recursive	1068056565.0	21377842.5	4155819	702778	199015.0	48870.5	3488721
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	interpreter	algorithms/fibonacci/recursive	6414599516.5	61675863.0	4624324193	4553706275	4536038342.0	21105818.0	4566922135
pre-perf002	8f363d0146164f99e72210eb44667f4efb7b88e7	0.2.161-SNAPSHOT	truffle	algorithms/fibonacci/recursive	7009056591.5	259278768.5	4474779114	4459997444	4447850321.0	4623091.0	4478488097
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	interpreter	algorithms/fibonacci/recursive	6038064083.0	52067851.0	4200868845	4200721992	4217816610.5	23193293.5	4264361051
post-perf002	3c93912a5579326374782a43527fbb51046f8f91	0.2.162-SNAPSHOT	truffle	algorithms/fibonacci/recursive	9754724071.5	124912960.5	4812582032	4641039568	4711400384.5	108655452.5	6219776087
