workload	PERF010A_ABLATION_3	structural_ablation_confirmed	protos_baseline_steady_median_ns	protos_ablation_steady_median_ns	removed_ns	removed_fraction_of_baseline
micro/slot-read	INVALID	False	47121852.5	44623479.5	2498373.0	0.0530194138696054
micro/closure-call	INVALID	False	56038634.0	60252002.0	-4213368.0	-0.07518684341948806
micro/method-call	INVALID	False	60865152.5	57166836.5	3698316.0	0.060762453523795903
runtime/monomorphic-dispatch	INVALID	False	54491520.0	52069492.5	2422027.5	0.044447787472252566
