workload	variant	mode	steady_median_ns	steady_mad_ns	steady_p95_ns	steady_min_ns	steady_max_ns	any_semantic_marker_present	helper_continue_at_present	execution_failure_stage
micro/slot-read	baseline	canonical	48057331.0	2535176.5	90636451	45195350	94711953	False	True	
micro/slot-read	baseline	control	47759029.0	4096623.0	88562600	43198221	108859353	False	True	
micro/slot-read	ablation	canonical	50589520.5	3795447.5	94547804	46407034	99282885	False	True	
micro/slot-read	ablation	control	44850309.0	1737302.0	84624878	43101887	88170312	False	True	
micro/closure-call	baseline	canonical	68856395.5	11173103.0	97206710	56358500	102514069	False	True	
micro/closure-call	baseline	control	46314467.0	2793104.0	84583591	43207494	91184597	False	True	
micro/closure-call	ablation	canonical	66070455.0	10399713.5	94043948	55102767	98729209	False	False	
micro/closure-call	ablation	control	48336809.5	4310636.0	87358568	43724489	92226598	False	True	
micro/method-call	baseline	canonical	60225027.5	8480167.0	91956975	51547131	93954061	False	True	
micro/method-call	baseline	control	45519117.0	2767743.5	85540056	42544978	90901975	False	True	
micro/method-call	ablation	canonical	67064194.0	12505688.0	95227703	53319974	105496570	False	True	
micro/method-call	ablation	control	44412907.0	1956340.5	86004621	42379856	87660047	False	True	
runtime/monomorphic-dispatch	baseline	canonical	55869245.5	3779872.5	90661868	51511605	108008000	False	True	
runtime/monomorphic-dispatch	baseline	control	46588695.0	2002256.0	88942339	44481680	91874153	False	True	
runtime/monomorphic-dispatch	ablation	canonical	60807671.0	9106563.5	91177502	50604664	113362172	False	True	
runtime/monomorphic-dispatch	ablation	control	48435563.0	5158603.0	87548268	42849141	93034385	False	True	
