workload	PERF010A_ABLATION_4	structural_ablation_confirmed	protos_baseline_steady_median_ns	protos_ablation_steady_median_ns	removed_ns	removed_fraction_of_baseline
micro/slot-read	VALID	True	48057331.0	50589520.5	-2532189.5	-0.052691013989103974
micro/closure-call	VALID	True	68856395.5	66070455.0	2785940.5	0.04046015594876731
micro/method-call	VALID	True	60225027.5	67064194.0	-6839166.5	-0.11356020551422745
runtime/monomorphic-dispatch	VALID	True	55869245.5	60807671.0	-4938425.5	-0.08839255758340248
