workload	variant	mode	steady_median_ns	steady_mad_ns	steady_p95_ns	steady_min_ns	steady_max_ns	any_semantic_marker_present	helper_continue_at_present	execution_failure_stage
micro/slot-read	baseline	canonical	46154014.0	1378253.0	72567206	44532572	94708048	True	True	
micro/slot-read	baseline	control	45893128.0	1330836.5	81030832	43724515	95937132	True	True	
micro/slot-read	ablation	canonical	NA	NA	NA	NA	NA	NA	NA	timing
micro/slot-read	ablation	control	NA	NA	NA	NA	NA	NA	NA	timing
micro/closure-call	baseline	canonical	57418802.5	1405699.5	93177932	55489035	100372998	True	True	
micro/closure-call	baseline	control	45316039.0	1309020.5	83132957	43388106	90798763	True	True	
micro/closure-call	ablation	canonical	NA	NA	NA	NA	NA	NA	NA	timing
micro/closure-call	ablation	control	NA	NA	NA	NA	NA	NA	NA	timing
micro/method-call	baseline	canonical	55776207.0	1885971.0	89110372	53489121	100865246	True	True	
micro/method-call	baseline	control	44075353.5	984277.0	80618088	42761985	93795412	True	True	
micro/method-call	ablation	canonical	NA	NA	NA	NA	NA	NA	NA	timing
micro/method-call	ablation	control	NA	NA	NA	NA	NA	NA	NA	timing
runtime/monomorphic-dispatch	baseline	canonical	59249438.5	1820965.0	96354076	56980795	103250545	True	True	
runtime/monomorphic-dispatch	baseline	control	46548478.0	1347104.0	79399049	44674548	87551536	True	True	
runtime/monomorphic-dispatch	ablation	canonical	NA	NA	NA	NA	NA	NA	NA	timing
runtime/monomorphic-dispatch	ablation	control	NA	NA	NA	NA	NA	NA	NA	timing
