workload	PERF010A_ABLATION_2	structural_ablation_confirmed	protos_baseline_steady_median_ns	protos_ablation_steady_median_ns	removed_ns	removed_fraction_of_baseline
micro/slot-read	INVALID	False	46154014.0	None	None	None
micro/closure-call	INVALID	False	57418802.5	None	None	None
micro/method-call	INVALID	False	55776207.0	None	None	None
runtime/monomorphic-dispatch	INVALID	False	59249438.5	None	None	None
