workload	samples	paired_control_effect_min_percent	paired_control_effect_max_percent	paired_control_effect_median_percent	paired_control_effect_mad_percent	order_effect
micro/slot-read	4	-3.5386	7.3428	-0.8099	1.8959	DETECTED
micro/closure-call	4	-3.6938	4.4621	0.6864	2.3153	DETECTED
micro/method-call	4	4.9668	21.8355	8.0144	2.4655	NOT_DETECTED
runtime/monomorphic-dispatch	4	9.4429	21.5429	11.2206	1.5371	NOT_DETECTED
