workload	classification	historical_protos_over_node_ratio	current_protos_over_node_ratio	historical_protos_over_python_ratio	current_protos_over_python_ratio	current_protos_median_ns	current_node_median_ns	current_python_median_ns	current_node_gap_over_historical	current_python_gap_over_historical
micro/slot-read	PRIMARY_COMMON_PATH	424.7624688172043	1022.7935470265711	31.245162972257603	38.62882553910537	60626087.5	59275.0	1569452.0	2.4079188301985512	1.2363137799410322
micro/closure-call	PRIMARY_COMMON_PATH	773.5915675057208	1615.329445769866	38.25075632362929	50.86153931052655	88019301.5	54490.0	1730567.0	2.0880908138362306	1.3296871539009802
micro/method-call	PRIMARY_COMMON_PATH	438.50938125170165	1385.5026587301588	31.663089374282016	49.7222094843794	87286667.5	63000.0	1755486.5	3.159573587172332	1.5703524345532025
runtime/monomorphic-dispatch	PRIMARY_COMMON_PATH	444.98478640107106	1290.6390888939845	31.169229378972904	47.48134875643379	84427156.0	65415.0	1778112.0	2.9004117181900986	1.5233404772100403
algorithms/factorial/recursive	SECONDARY_RECURSIVE_SCALE_SENTINEL	4821.166826923077	12203.756962025316	3798.4950757575757	3708.0646153846155	4820484.0	395.0	1300.0	2.5312870099983433	0.976193082110308
